"","County","Date","County name","FIPS","Fully vaccinated, all ages","Fully vaccinated","Received at least 1 dose, all ages","Received at least 1 dose","Fully vaccinated, 5+","Fully vaccinated, 12+","Fully vaccinated, 18+","Fully vaccinated, 65+","Geometry"
"14","Clay",2023-01-11,"Clay County","01027","43.6","5764","52.2","6913","46","49.7","51.9","71.5","MULTIPOLYGON (((-86.17283 33.19568, -86.12057 33.19451, -86.1182 33.29632, -86.10084 33.29608, -86.01156 33.29432, -85.98029 33.29419, -85.97652 33.38187, -85.94126 33.38175, -85.94087 33.39605, -85.92376 33.39621, -85.92282 33.45458, -85.90534 33.45471, -85.90491 33.49865, -85.85189 33.49874, -85.85242 33.49164, -85.86931 33.49157, -85.87005 33.47676, -85.88768 33.47677, -85.88778 33.46943, -85.78274 33.46935, -85.78269 33.48364, -85.76563 33.48348, -85.76543 33.49859, -85.64348 33.49589, -85.64991 33.32421, -85.64113 33.32393, -85.64144 33.30596, -85.65047 33.30615, -85.65365 33.10663, -85.75363 33.10528, -85.80169 33.1043, -85.97471 33.10529, -85.97456 33.09051, -86.00917 33.09026, -86.00931 33.10464, -86.17437 33.10439, -86.17283 33.19568)))"
"15","Cleburne",2023-01-11,"Cleburne County","01029","29.6","4406","35.4","5271","31.4","34.4","36.5","53.4","MULTIPOLYGON (((-85.88768 33.47677, -85.87005 33.47676, -85.86931 33.49157, -85.85242 33.49164, -85.85189 33.49874, -85.79685 33.54185, -85.79605 33.55622, -85.74412 33.55607, -85.74231 33.60001, -85.72452 33.59943, -85.72495 33.61354, -85.69014 33.61581, -85.69068 33.62779, -85.65581 33.62717, -85.63858 33.64841, -85.63805 33.77334, -85.62125 33.77351, -85.62089 33.78794, -85.60347 33.78775, -85.60339 33.80234, -85.58598 33.8021, -85.5852 33.84592, -85.63713 33.8465, -85.63701 33.87527, -85.6019 33.87486, -85.60186 33.88975, -85.53248 33.88915, -85.53009 33.94142, -85.49582 33.94239, -85.49529 33.95691, -85.42563 33.95707, -85.39887 33.96413, -85.38651 33.90172, -85.37746 33.85605, -85.37644 33.85065, -85.36189 33.77395, -85.36053 33.76796, -85.35744 33.7501, -85.33825 33.65311, -85.32384 33.58034, -85.32262 33.57415, -85.31504 33.5359, -85.31414 33.53022, -85.31405 33.5298, -85.30449 33.48288, -85.33106 33.49101, -85.34774 33.50138, -85.35257 33.49244, -85.64348 33.49589, -85.76543 33.49859, -85.76563 33.48348, -85.78269 33.48364, -85.78274 33.46935, -85.88778 33.46943, -85.88768 33.47677)))"
"16","Coffee",2023-01-11,"Coffee County","01031","48.8","25544","61.7","32275","52","56.7","59.3","81.9","MULTIPOLYGON (((-86.19637 31.42543, -86.19395 31.44007, -86.19478 31.52995, -86.15656 31.5302, -86.15031 31.5376, -86.14395 31.53768, -86.1459 31.61774, -85.78914 31.61796, -85.78978 31.35656, -85.7901 31.33628, -85.7914 31.19635, -86.05853 31.19408, -86.11673 31.19301, -86.11674 31.1821, -86.12548 31.19275, -86.19348 31.19221, -86.19504 31.35268, -86.19637 31.42543)))"
"17","Colbert",2023-01-11,"Colbert County","01033","49.5","27324","58.6","32397","52.4","56.7","58.7","80.5","MULTIPOLYGON (((-88.13925 34.5878, -88.13872 34.58921, -88.13426 34.62266, -88.12292 34.69535, -88.11841 34.72429, -88.11642 34.7463, -88.10756 34.81163, -88.09789 34.8922, -88.04087 34.90661, -87.98661 34.88674, -87.95227 34.86766, -87.93346 34.8389, -87.92029 34.80447, -87.86131 34.76298, -87.83583 34.74124, -87.80696 34.73206, -87.76733 34.73459, -87.73266 34.74569, -87.70757 34.77292, -87.69419 34.77663, -87.67539 34.78214, -87.67105 34.78254, -87.6696 34.78244, -87.65399 34.78787, -87.6434 34.79285, -87.6247 34.79604, -87.61369 34.79903, -87.60461 34.80386, -87.58475 34.81919, -87.52436 34.83238, -87.47997 34.81263, -87.42651 34.80002, -87.43439 34.77361, -87.41648 34.76754, -87.42785 34.75191, -87.43306 34.71748, -87.42629 34.70933, -87.44995 34.6968, -87.45114 34.68238, -87.4434 34.66109, -87.4595 34.64435, -87.48365 34.64814, -87.47682 34.6378, -87.49691 34.62599, -87.50272 34.60948, -87.51452 34.59832, -87.50734 34.58649, -87.51856 34.57748, -87.51781 34.56623, -87.52967 34.56708, -87.60075 34.56824, -87.63793 34.56915, -88.13999 34.5817, -88.13925 34.5878)))"
"18","Conecuh",2023-01-11,"Conecuh County","01035","45.3","5463","58.4","7046","47.8","51.5","53.8","67.9","MULTIPOLYGON (((-87.42088 31.27632, -87.39321 31.30085, -87.35976 31.31775, -87.34653 31.34962, -87.33218 31.35525, -87.29672 31.40128, -87.27111 31.4162, -87.22999 31.45342, -87.22511 31.45491, -87.20685 31.4581, -87.19793 31.47811, -87.16658 31.51956, -87.16773 31.5348, -87.15892 31.56614, -87.14513 31.58717, -87.1374 31.61445, -87.13505 31.64242, -87.09135 31.65226, -87.07833 31.66634, -87.05597 31.67738, -87.06095 31.70485, -87.0511 31.71834, -87.02414 31.71256, -86.98932 31.71856, -86.9799 31.72618, -86.94872 31.73488, -86.9339 31.74616, -86.9059 31.75303, -86.90677 31.63267, -86.89396 31.61634, -86.88811 31.59221, -86.87456 31.57799, -86.86565 31.55378, -86.8663 31.54698, -86.83939 31.5252, -86.70155 31.52395, -86.70122 31.43664, -86.67485 31.43656, -86.66208 31.4028, -86.67544 31.389, -86.66724 31.3694, -86.69252 31.34748, -86.70245 31.3454, -86.70114 31.32436, -86.70028 31.19222, -86.72109 31.19098, -86.72117 31.18366, -86.73874 31.19465, -86.75667 31.19316, -86.77252 31.20224, -86.76376 31.22046, -86.77226 31.25065, -86.76396 31.26129, -87.03647 31.26131, -87.42745 31.26039, -87.42088 31.27632)))"
"19","Coosa",2023-01-11,"Coosa County","01037","41.9","4470","50.1","5341","43.8","46.5","48.2","67.2","MULTIPOLYGON (((-86.51734 33.02057, -86.52006 33.05699, -86.50603 33.06775, -86.51114 33.08843, -86.49103 33.10294, -86.17437 33.10439, -86.00931 33.10464, -86.00917 33.09026, -86.00834 32.9978, -86.00831 32.93985, -86.00756 32.82777, -86.01349 32.82012, -86.00731 32.8122, -86.00719 32.75498, -86.31948 32.7537, -86.31916 32.76784, -86.33669 32.76813, -86.33677 32.75378, -86.37497 32.75358, -86.39674 32.76295, -86.4134 32.78818, -86.42724 32.79171, -86.45701 32.8139, -86.46069 32.83346, -86.44784 32.85098, -86.45152 32.86369, -86.46567 32.86914, -86.48022 32.87435, -86.49051 32.90562, -86.51596 32.92936, -86.51812 32.97118, -86.51062 32.98538, -86.52228 33.00439, -86.51734 33.02057)))"
"20","Covington",2023-01-11,"Covington County","01039","39.1","14472","47.6","17617","41.5","45.3","47.8","67.9","MULTIPOLYGON (((-86.70245 31.3454, -86.69252 31.34748, -86.66724 31.3694, -86.67544 31.389, -86.66208 31.4028, -86.67485 31.43656, -86.70122 31.43664, -86.70155 31.52395, -86.49921 31.52533, -86.41538 31.52557, -86.39994 31.52713, -86.39854 31.45132, -86.39569 31.45068, -86.3703 31.47369, -86.36466 31.48673, -86.34004 31.48692, -86.3306 31.50095, -86.31964 31.50504, -86.29889 31.5285, -86.28015 31.52851, -86.27703 31.4556, -86.26019 31.45572, -86.26188 31.44117, -86.19395 31.44007, -86.19637 31.42543, -86.19504 31.35268, -86.19348 31.19221, -86.19035 31.00306, -86.18725 30.99403, -86.23841 30.99435, -86.25652 30.99384, -86.28932 30.99378, -86.30467 30.99401, -86.36497 30.99444, -86.36934 30.99446, -86.37461 30.99446, -86.38865 30.99416, -86.38871 30.99416, -86.392 30.99415, -86.40498 30.99403, -86.45477 30.99377, -86.45838 30.99398, -86.50001 30.99332, -86.51289 30.99368, -86.52 30.99322, -86.56349 30.9952, -86.56764 30.99509, -86.66473 30.99451, -86.67843 30.99451, -86.68831 30.99457, -86.70022 31.00042, -86.70028 31.19222, -86.70114 31.32436, -86.70245 31.3454)))"
"21","Crenshaw",2023-01-11,"Crenshaw County","01041","35.6","4906","43.1","5938","37.8","41.2","43.5","65.7","MULTIPOLYGON (((-86.49953 31.65525, -86.44863 31.65562, -86.44598 31.70112, -86.44641 31.83166, -86.43836 31.84284, -86.44662 31.84643, -86.4482 31.96463, -86.405 31.96377, -86.40628 32.05073, -86.30704 32.0517, -86.30351 32.05031, -86.30222 31.96506, -86.19138 31.96645, -86.17497 31.9306, -86.17309 31.89314, -86.18231 31.87029, -86.18295 31.83239, -86.19941 31.80786, -86.19938 31.79045, -86.14834 31.79095, -86.14715 31.66315, -86.16006 31.66023, -86.15888 31.64754, -86.17868 31.62819, -86.1797 31.61652, -86.1459 31.61774, -86.14395 31.53768, -86.15031 31.5376, -86.15656 31.5302, -86.19478 31.52995, -86.19395 31.44007, -86.26188 31.44117, -86.26019 31.45572, -86.27703 31.4556, -86.28015 31.52851, -86.29889 31.5285, -86.31964 31.50504, -86.3306 31.50095, -86.34004 31.48692, -86.36466 31.48673, -86.3703 31.47369, -86.39569 31.45068, -86.39854 31.45132, -86.39994 31.52713, -86.41538 31.52557, -86.49921 31.52533, -86.49953 31.65525)))"
"22","Cullman",2023-01-11,"Cullman County","01043","39.2","32861","46.3","38802","41.8","45.6","48.3","72.1","MULTIPOLYGON (((-87.15104 33.99322, -87.11199 33.99238, -87.11094 34.17255, -87.1102 34.22836, -87.10991 34.2993, -87.11011 34.3138, -87.09198 34.3123, -86.83866 34.30817, -86.81458 34.30776, -86.58194 34.30469, -86.54952 34.30374, -86.47752 34.30276, -86.45945 34.28915, -86.45302 34.25932, -86.48594 34.26018, -86.49966 34.24897, -86.51893 34.25232, -86.52339 34.22734, -86.53935 34.22601, -86.5558 34.18913, -86.54521 34.18727, -86.56385 34.17049, -86.56783 34.17022, -86.59473 34.13544, -86.60115 34.11904, -86.62413 34.12221, -86.65345 34.10722, -86.65682 34.09165, -86.65876 34.09, -86.66026 34.08938, -86.66433 34.08704, -86.66666 34.08544, -86.66779 34.08441, -86.66896 34.0837, -86.67 34.08384, -86.67043 34.08448, -86.67021 34.08581, -86.67072 34.08727, -86.67134 34.08793, -86.6726 34.08841, -86.6733 34.08821, -86.67399 34.08769, -86.67555 34.08535, -86.67727 34.08435, -86.6811 34.08329, -86.68288 34.08236, -86.68524 34.07986, -86.68658 34.07957, -86.6873 34.07999, -86.6877 34.08073, -86.68775 34.08406, -86.6887 34.08628, -86.68868 34.08705, -86.68765 34.0891, -86.68756 34.09066, -86.68775 34.09179, -86.68843 34.0926, -86.68928 34.09244, -86.69124 34.09272, -86.69247 34.0924, -86.69314 34.09079, -86.69443 34.08843, -86.69535 34.08714, -86.69812 34.08508, -86.70247 34.08278, -86.70424 34.0815, -86.70455 34.08092, -86.70454 34.08042, -86.70404 34.07972, -86.70205 34.07827, -86.70055 34.07752, -86.69874 34.07509, -86.69686 34.07227, -86.69504 34.07035, -86.69326 34.06818, -86.69277 34.06738, -86.69175 34.06512, -86.69058 34.06379, -86.68536 34.05914, -86.70095 34.06055, -86.70146 34.03963, -86.72058 34.03203, -86.73669 34.01201, -86.74038 34.00039, -86.76007 33.99593, -86.764 33.97419, -86.79168 33.96356, -86.79202 33.95242, -86.82012 33.95753, -86.82131 33.94153, -86.83621 33.95062, -86.86817 33.93277, -86.87789 33.9363, -86.88602 33.91743, -86.92439 33.90922, -86.9202 33.87345, -86.96336 33.85822, -86.99399 33.86093, -87.00686 33.86618, -87.00708 33.88893, -87.09184 33.89009, -87.10081 33.89836, -87.082 33.9064, -87.08558 33.91916, -87.10457 33.93522, -87.11238 33.95949, -87.13408 33.96509, -87.15104 33.99322)))"
"23","Dale",2023-01-11,"Dale County","01045","49.5","24318","59.4","29215","53","57.6","60.2","76.2","MULTIPOLYGON (((-85.7901 31.33628, -85.78978 31.35656, -85.78914 31.61796, -85.74825 31.61805, -85.58544 31.61756, -85.46704 31.62057, -85.41644 31.61947, -85.41577 31.49041, -85.41803 31.44077, -85.41671 31.36335, -85.41743 31.31497, -85.41714 31.28722, -85.42623 31.28627, -85.46804 31.28678, -85.48544 31.28709, -85.48585 31.2461, -85.54611 31.25387, -85.58553 31.26418, -85.60296 31.27238, -85.63531 31.27555, -85.65998 31.27089, -85.67119 31.2497, -85.68909 31.23609, -85.69666 31.20472, -85.71033 31.19517, -85.7914 31.19635, -85.7901 31.33628)))"
"24","Dallas",2023-01-11,"Dallas County","01047","47.2","17538","60.8","22628","50.1","54.9","57.1","76.1","MULTIPOLYGON (((-87.47308 32.30761, -87.42174 32.3081, -87.42315 32.48297, -87.26562 32.48402, -87.22098 32.48699, -87.11275 32.48851, -87.10072 32.50474, -87.08997 32.53442, -87.08184 32.53708, -87.07726 32.55736, -87.0814 32.57043, -87.05701 32.58444, -87.04071 32.59919, -87.04787 32.62078, -87.04353 32.64295, -87.03208 32.664, -87.03325 32.69584, -87.01776 32.72953, -87.01766 32.66327, -86.9176 32.66417, -86.91882 32.64428, -86.8983 32.56769, -86.90675 32.5373, -86.89083 32.51374, -86.87899 32.48732, -86.8852 32.48244, -86.87021 32.46897, -86.86006 32.45086, -86.86709 32.43919, -86.8499 32.43832, -86.82439 32.42472, -86.84545 32.41542, -86.84376 32.40042, -86.82724 32.37882, -86.8154 32.37082, -86.80738 32.35436, -86.81491 32.3408, -86.85041 32.32895, -86.85051 32.30986, -86.82606 32.30596, -86.85367 32.28728, -86.86394 32.2703, -86.84125 32.24199, -86.82131 32.23376, -86.81045 32.23759, -86.81031 32.22475, -86.9083 32.22503, -86.90696 32.04797, -87.17786 32.04751, -87.17558 32.0647, -87.19158 32.07026, -87.19031 32.08608, -87.22318 32.09352, -87.24551 32.12216, -87.26116 32.12375, -87.25224 32.1358, -87.26285 32.14701, -87.28087 32.14435, -87.29253 32.1679, -87.31796 32.18126, -87.32866 32.19533, -87.35338 32.20165, -87.36539 32.19722, -87.37452 32.22192, -87.3886 32.22317, -87.39428 32.23733, -87.42275 32.24412, -87.44459 32.26893, -87.47221 32.26492, -87.47308 32.30761)))"
"25","DeKalb",2023-01-11,"DeKalb County","01049","35.1","25129","43.1","30808","37.4","40.9","43.4","62.6","MULTIPOLYGON (((-86.11036 34.4278, -86.05771 34.47599, -86.03485 34.47342, -86.01559 34.48164, -86.00384 34.48003, -85.96616 34.49861, -85.96411 34.49964, -85.96234 34.49976, -85.96118 34.50059, -85.96011 34.50218, -85.95961 34.50348, -85.95698 34.50614, -85.95694 34.50712, -85.93854 34.52535, -85.88111 34.56231, -85.78547 34.62458, -85.69304 34.74425, -85.67338 34.74491, -85.6602 34.75496, -85.63427 34.79898, -85.62707 34.83188, -85.58315 34.86037, -85.56142 34.75008, -85.55249 34.70832, -85.55246 34.70814, -85.54128 34.65678, -85.54127 34.6567, -85.53434 34.62508, -85.5341 34.62386, -85.52727 34.58868, -85.51709 34.5426, -85.51394 34.52519, -85.51373 34.52419, -85.53343 34.51408, -85.5444 34.50008, -85.55936 34.50125, -85.56039 34.48991, -85.57698 34.48354, -85.57034 34.46776, -85.58033 34.47031, -85.58392 34.45796, -85.57966 34.43971, -85.60068 34.42093, -85.61667 34.39341, -85.62496 34.3973, -85.62751 34.39592, -85.62034 34.38698, -85.63665 34.36662, -85.66415 34.36194, -85.67217 34.35184, -85.67528 34.3434, -85.77416 34.25909, -85.80904 34.25892, -85.80842 34.23938, -85.82549 34.24011, -85.84384 34.24345, -85.84362 34.20001, -86.10609 34.20076, -86.10743 34.2498, -86.10791 34.28272, -86.10892 34.33376, -86.11007 34.3748, -86.11889 34.40384, -86.11036 34.4278)))"
"26","Elmore",2023-01-11,"Elmore County","01051","48.2","39179","59.3","48192","51.2","55.6","58.3","89.7","MULTIPOLYGON (((-86.41333 32.75059, -86.37497 32.75358, -86.33677 32.75378, -86.33669 32.76813, -86.31916 32.76784, -86.31948 32.7537, -86.00719 32.75498, -85.97216 32.75493, -85.97276 32.76922, -85.95556 32.76913, -85.95486 32.75482, -85.89537 32.75458, -85.87986 32.75453, -85.89061 32.717, -85.90747 32.6993, -85.91171 32.67784, -85.88775 32.64761, -85.89028 32.63316, -85.89456 32.61473, -85.88764 32.55798, -85.89039 32.50014, -85.88615 32.49305, -85.8703 32.48147, -85.85262 32.47575, -85.8727 32.47387, -85.88222 32.45499, -85.89442 32.44758, -85.93178 32.45353, -85.95895 32.44113, -85.97346 32.45345, -85.98526 32.44047, -85.99349 32.45151, -85.99065 32.43305, -86.02301 32.41998, -86.04255 32.41793, -86.0464 32.40615, -86.07806 32.41271, -86.08628 32.42165, -86.11633 32.41703, -86.12955 32.42219, -86.12545 32.43405, -86.15103 32.42464, -86.15424 32.43435, -86.19228 32.43613, -86.1806 32.4475, -86.19808 32.45138, -86.23707 32.49498, -86.26289 32.50125, -86.26202 32.48652, -86.29025 32.47261, -86.31325 32.48897, -86.30798 32.46701, -86.32516 32.44353, -86.30816 32.41502, -86.30818 32.41496, -86.3082 32.41492, -86.34447 32.43264, -86.3984 32.42694, -86.41117 32.40994, -86.41223 32.52875, -86.41245 32.57932, -86.41312 32.70739, -86.41333 32.75059)))"
"27","Escambia",2023-01-11,"Escambia County","01053","37.9","13868","48.1","17612","40.3","44","46.5","75.3","MULTIPOLYGON (((-87.61589 31.24446, -87.55929 31.22729, -87.52301 31.24791, -87.48921 31.26008, -87.42745 31.26039, -87.03647 31.26131, -86.76396 31.26129, -86.77226 31.25065, -86.76376 31.22046, -86.77252 31.20224, -86.75667 31.19316, -86.73874 31.19465, -86.72117 31.18366, -86.72109 31.19098, -86.70028 31.19222, -86.70022 31.00042, -86.68831 30.99457, -86.70631 30.99468, -86.72543 30.99685, -86.72734 30.99686, -86.72844 30.99672, -86.74529 30.99627, -86.78569 30.99695, -86.78596 30.99695, -86.83054 30.99738, -86.83198 30.99735, -86.87303 30.99761, -86.88818 30.99755, -86.92785 30.99768, -86.99851 30.99863, -87.0044 30.99929, -87.02714 30.99923, -87.0364 30.99932, -87.04002 30.99957, -87.05377 30.9991, -87.0641 30.99916, -87.06867 30.99911, -87.1189 30.9994, -87.125 30.99877, -87.14079 30.9995, -87.16264 30.99903, -87.16362 30.999, -87.22477 30.99714, -87.22954 30.99685, -87.23771 30.99636, -87.255 30.99826, -87.25562 30.99819, -87.25703 30.99816, -87.25798 30.99823, -87.25971 30.99814, -87.26056 30.99817, -87.26559 30.99824, -87.28893 30.99831, -87.29102 30.99832, -87.30159 30.9984, -87.30405 30.99816, -87.31221 30.9984, -87.334 30.99824, -87.35568 30.99821, -87.36403 30.99819, -87.36786 30.99826, -87.42579 30.99806, -87.43231 30.99817, -87.44983 30.99824, -87.45572 30.99828, -87.45867 30.99835, -87.46165 30.99817, -87.4618 30.99817, -87.46684 30.99814, -87.46689 30.99814, -87.47872 30.99818, -87.47972 30.99816, -87.48026 30.99817, -87.51953 30.99755, -87.54855 30.99789, -87.57129 30.99784, -87.59883 30.99742, -87.61543 30.99736, -87.61542 31.041, -87.61589 31.24446)))"
"28","Etowah",2023-01-11,"Etowah County","01055","42.4","43349","50.8","51906","45","48.6","50.9","72.9","MULTIPOLYGON (((-86.33934 33.97148, -86.33272 33.98611, -86.33239 34.0405, -86.32266 34.07229, -86.30352 34.09907, -86.18997 34.18292, -86.17372 34.18348, -86.157 34.18727, -86.10561 34.18623, -86.10609 34.20076, -85.84362 34.20001, -85.84136 34.1107, -85.8332 34.10994, -85.81197 34.1251, -85.79101 34.1251, -85.79707 34.10018, -85.73714 33.9892, -85.73897 33.96846, -85.74097 33.9353, -85.81103 33.94707, -85.84639 33.95002, -85.88177 33.9503, -85.89967 33.943, -85.89957 33.9064, -85.93427 33.9064, -85.93447 33.921, -85.96917 33.9146, -85.96917 33.9034, -85.96917 33.8929, -85.98647 33.8937, -85.98754 33.8792, -85.99517 33.8649, -86.02147 33.8661, -86.02127 33.8515, -86.04653 33.8526, -86.04907 33.8416, -86.06527 33.8422, -86.05454 33.8464, -86.07312 33.86578, -86.09667 33.86136, -86.10889 33.8812, -86.11247 33.904, -86.14272 33.89939, -86.1492 33.92056, -86.16537 33.92658, -86.16616 33.9447, -86.16814 33.96518, -86.18363 33.9722, -86.19916 33.98892, -86.23021 33.98279, -86.25158 33.9656, -86.27808 33.98907, -86.29013 33.98372, -86.32562 33.94015, -86.37015 33.93977, -86.33934 33.97148)))"
"29","Fayette",2023-01-11,"Fayette County","01057","36.1","5892","42","6853","38.3","41.6","43.7","62.4","MULTIPOLYGON (((-87.95179 33.91993, -87.86324 33.91951, -87.72244 33.9148, -87.63593 33.91525, -87.63604 33.872, -87.5316 33.86762, -87.52834 33.69205, -87.42384 33.68911, -87.4237 33.6021, -87.63172 33.60983, -87.63161 33.58067, -87.66663 33.57981, -87.66666 33.52167, -87.68756 33.52109, -87.73665 33.51957, -87.84068 33.52484, -87.94652 33.52407, -87.94666 33.6413, -87.95179 33.91993)))"
"30","Franklin",2023-01-11,"Franklin County","01059","45.2","14191","55.2","17315","48.5","53.6","56.8","81.1","MULTIPOLYGON (((-88.16591 34.38093, -88.16563 34.3831, -88.15629 34.46321, -88.13999 34.5817, -87.63793 34.56915, -87.60075 34.56824, -87.52967 34.56708, -87.52972 34.3046, -87.63473 34.307, -87.73089 34.31019, -87.9089 34.31253, -88.17363 34.32105, -88.16591 34.38093)))"
"31","Geneva",2023-01-11,"Geneva County","01061","41.3","10839","49.8","13093","43.6","47.6","50.7","75.1","MULTIPOLYGON (((-86.19348 31.19221, -86.12548 31.19275, -86.11674 31.1821, -86.11673 31.19301, -86.05853 31.19408, -85.7914 31.19635, -85.71033 31.19517, -85.58573 31.19487, -85.48576 31.19989, -85.48543 31.14141, -85.4883 30.99708, -85.49799 30.99693, -85.49838 30.99692, -85.57949 30.99639, -85.74971 30.99528, -85.75003 30.99483, -85.89363 30.99345, -85.99873 30.99286, -86.03504 30.99331, -86.03512 30.99331, -86.05254 30.99323, -86.05629 30.99312, -86.117 30.9929, -86.16296 30.99367, -86.16906 30.99369, -86.17528 30.99378, -86.18031 30.99399, -86.18725 30.99403, -86.19035 31.00306, -86.19348 31.19221)))"
