"","Date","Doses delivered","Doses administered","One dose, %","One dose","Completed series","Completed series, %","% of fully vaccinated who are boosted (2021)","Boosters administered","Boosted, Age 5+","Boosted, Age 5+ %","Received Bivalent (2022) Booster","Received (2021) Booster","Completed series, national average","NA"
"1",2020-12-14,"6825","0","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"2",2020-12-15,"39000","0","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"3",2020-12-16,"39000","0","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"4",2020-12-17,"39000","193","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"5",2020-12-18,"39000","1647","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"6",2020-12-19,"39000","3152","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"7",2020-12-20,"39000","5767","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"8",2020-12-21,"57875","6452","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"9",2020-12-22,"83000","7383","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"10",2020-12-23,"142725","9473","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"11",2020-12-24,"142725","15857","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"12",2020-12-25,"142725","15857","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"13",2020-12-26,"142725","16366","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"14",2020-12-27,"142725","16872","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"15",2020-12-28,"142725","16872","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"16",2020-12-29,"148150","17284","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"17",2020-12-30,"152050","26711","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"18",2020-12-31,"153025","26711","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"19",2021-01-01,"153025","36188","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"20",2021-01-02,"153025","39237","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"21",2021-01-03,"153025","39446","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"22",2021-01-04,"204650","39564","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"23",2021-01-05,"207575","40278","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"24",2021-01-06,"225325","43280","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"25",2021-01-07,"228025","48888","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"26",2021-01-08,"279750","57105","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"27",2021-01-09,"279750","66179","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"28",2021-01-10,"279750","74589","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"29",2021-01-11,"316575","76528","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"30",2021-01-12,"369775","78134","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"31",2021-01-13,"370750","84040","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"32",2021-01-14,"427125","92300","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"33",2021-01-15,"437400","100567","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"34",2021-01-16,"437400","115028","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"35",2021-01-17,"437400","123995","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"36",2021-01-18,"437400","129590","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"37",2021-01-19,"483275","130795","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"38",2021-01-20,"483275","139200","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"39",2021-01-21,"493125","165919","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"40",2021-01-22,"519525","199314","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"41",2021-01-23,"521225","221540","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"42",2021-01-24,"521225","243737","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"43",2021-01-25,"521225","250612","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"44",2021-01-26,"569000","254959","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"45",2021-01-27,"634000","266444","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"46",2021-01-28,"655275","278993","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"47",2021-01-29,"659400","300915","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"48",2021-01-30,"659400","342436","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"49",2021-01-31,"659400","353974","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"50",2021-02-01,"659400","358280","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"51",2021-02-02,"680550","371882","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"52",2021-02-03,"765150","388339","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"53",2021-02-04,"799675","408428","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"54",2021-02-05,"799875","430597","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"55",2021-02-06,"804100","455173","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"56",2021-02-07,"804100","462332","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"57",2021-02-08,"804100","467636","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"58",2021-02-09,"823600","490969","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"59",2021-02-10,"861175","515802","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"60",2021-02-11,"911875","543237","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"61",2021-02-12,"936200","571115","0%","0","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"62",2021-02-13,"963600","601159","9.7%","477491","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"63",2021-02-14,"965550","612254","9.9%","484848","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"64",2021-02-15,"965550","616375","9.9%","487613","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"65",2021-02-16,"1015775","636682","10.1%","497207","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"66",2021-02-17,"1032175","650020","10.3%","505512","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"67",2021-02-18,"1032175","672038","10.5%","516888","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"68",2021-02-19,"1077600","739132","11.4%","558367","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"69",2021-02-20,"1078800","776936","11.7%","574095","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"70",2021-02-21,"1082100","788613","11.8%","580772","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"71",2021-02-22,"1082100","793614","11.9%","583741","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"72",2021-02-23,"1084440","815108","12.1%","593936","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"73",2021-02-24,"1138650","839703","12.3%","604602","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"74",2021-02-25,"1170120","864757","12.5%","615100","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"75",2021-02-26,"1380380","893859","12.8%","627063","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"76",2021-02-27,"1402180","931090","13.1%","643208","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"77",2021-02-28,"1402280","942502","13.3%","649745","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"78",2021-03-01,"1402280","948393","13.3%","653309","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"79",2021-03-02,"1461320","972161","13.5%","663187","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"80",2021-03-03,"1469100","1000031","13.8%","674810","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"81",2021-03-04,"1530470","1032171","14%","688791","0","0%","0%",NA,NA,NA,NA,NA,NA,"0%"
"82",2021-03-05,"1556460","1064578","14.4%","704173","383138","7.8%","0%",NA,NA,NA,NA,NA,NA,"8.6%"
"83",2021-03-06,"1628350","1099697","14.7%","721109","402301","8.2%","0%",NA,NA,NA,NA,NA,NA,"9%"
"84",2021-03-07,"1628350","1110132","14.8%","727681","407186","8.3%","0%",NA,NA,NA,NA,NA,NA,"9.3%"
"85",2021-03-08,"1628350","1116676","14.9%","732967","409937","8.4%","0%",NA,NA,NA,NA,NA,NA,"9.5%"
"86",2021-03-09,"1689050","1140984","15.2%","747268","420083","8.6%","0%",NA,NA,NA,NA,NA,NA,"9.7%"
"87",2021-03-10,"1775660","1173820","15.7%","768502","435018","8.9%","0%",NA,NA,NA,NA,NA,NA,"9.9%"
"88",2021-03-11,"1816230","1209802","16.1%","790864","452746","9.2%","0%",NA,NA,NA,NA,NA,NA,"10.2%"
"89",2021-03-12,"1838400","1249205","16.7%","816418","472325","9.6%","0%",NA,NA,NA,NA,NA,NA,"10.5%"
"90",2021-03-13,"1918560","1288242","17.2%","841394","492755","10%","0%",NA,NA,NA,NA,NA,NA,"11.1%"
"91",2021-03-14,"1918560","1298612","17.3%","849337","497653","10.1%","0%",NA,NA,NA,NA,NA,NA,"11.3%"
"92",2021-03-15,"1918560","1306419","17.4%","854302","501344","10.2%","0%",NA,NA,NA,NA,NA,NA,"11.5%"
"93",2021-03-16,"2004160","1332298","17.8%","871536","511869","10.4%","0%",NA,NA,NA,NA,NA,NA,"11.8%"
"94",2021-03-17,"2080870","1363987","18.2%","893767","523649","10.7%","0%",NA,NA,NA,NA,NA,NA,"12%"
"95",2021-03-18,"2118650","1390066","18.6%","912663","533375","10.9%","0%",NA,NA,NA,NA,NA,NA,"12.3%"
"96",2021-03-19,"2141210","1426696","19.1%","937614","547257","11.2%","0%",NA,NA,NA,NA,NA,NA,"12.6%"
"97",2021-03-20,"2177880","1460782","19.6%","960539","561254","11.4%","0%",NA,NA,NA,NA,NA,NA,"13%"
"98",2021-03-21,"2177880","1472666","19.8%","968459","566632","11.6%","0%",NA,NA,NA,NA,NA,NA,"13.3%"
"99",2021-03-22,"2177880","1479271","19.8%","972986","569127","11.6%","0%",NA,NA,NA,NA,NA,NA,"13.5%"
"100",2021-03-23,"2275030","1509445","20.3%","994253","579598","11.8%","0%",NA,NA,NA,NA,NA,NA,"13.7%"
"101",2021-03-24,"2403720","1542416","20.8%","1019858","589979","12%","0%",NA,NA,NA,NA,NA,NA,"14%"
"102",2021-03-25,"2459980","1579091","21.4%","1048838","600666","12.3%","0%",NA,NA,NA,NA,NA,NA,"14.3%"
"103",2021-03-26,"2497410","1611404","21.9%","1072623","611694","12.5%","0%",NA,NA,NA,NA,NA,NA,"14.7%"
"104",2021-03-27,"2535880","1645858","22.4%","1098597","623385","12.7%","0%",NA,NA,NA,NA,NA,NA,"15.1%"
"105",2021-03-28,"2537050","1659102","22.6%","1108253","628500","12.8%","0%",NA,NA,NA,NA,NA,NA,"15.5%"
"106",2021-03-29,"2537050","1666585","22.7%","1113924","631388","12.9%","0%",NA,NA,NA,NA,NA,NA,"15.8%"
"107",2021-03-30,"2722700","1697641","23.1%","1134739","643450","13.1%","0%",NA,NA,NA,NA,NA,NA,"16.1%"
"108",2021-03-31,"2796630","1728736","23.6%","1155139","656899","13.4%","0%",NA,NA,NA,NA,NA,NA,"16.4%"
"109",2021-04-01,"2839540","1771979","24.2%","1184284","673773","13.7%","0%",NA,NA,NA,NA,NA,NA,"16.9%"
"110",2021-04-02,"2872410","1813462","24.7%","1211424","691082","14.1%","0%",NA,NA,NA,NA,NA,NA,"17.5%"
"111",2021-04-03,"2891780","1847243","25.2%","1234131","705197","14.4%","0%",NA,NA,NA,NA,NA,NA,"18%"
"112",2021-04-04,"2892950","1858833","25.3%","1242706","709849","14.5%","0%",NA,NA,NA,NA,NA,NA,"18.5%"
"113",2021-04-05,"2892950","1864857","25.5%","1248029","711596","14.5%","0%",NA,NA,NA,NA,NA,NA,"18.8%"
"114",2021-04-06,"3106870","1896920","25.9%","1267859","725270","14.8%","0%",NA,NA,NA,NA,NA,NA,"19%"
"115",2021-04-07,"3149910","1935221","26.3%","1291487","744961","15.2%","0%",NA,NA,NA,NA,NA,NA,"19.4%"
"116",2021-04-08,"3170520","1976344","26.9%","1317995","764450","15.6%","0%",NA,NA,NA,NA,NA,NA,"19.9%"
"117",2021-04-09,"3248260","2021334","27.4%","1344658","788325","16.1%","0%",NA,NA,NA,NA,NA,NA,"20.5%"
"118",2021-04-10,"3278980","2065327","28%","1371201","811323","16.5%","0%",NA,NA,NA,NA,NA,NA,"21.3%"
"119",2021-04-11,"3278980","2082605","28.2%","1382951","819550","16.7%","0%",NA,NA,NA,NA,NA,NA,"21.9%"
"120",2021-04-12,"3278980","2092489","28.3%","1389598","824052","16.8%","0%",NA,NA,NA,NA,NA,NA,"22.3%"
"121",2021-04-13,"3358930","2127317","28.7%","1407463","844353","17.2%","0%",NA,NA,NA,NA,NA,NA,"22.7%"
"122",2021-04-14,"3493380","2168891","29.1%","1426530","868550","17.7%","0%",NA,NA,NA,NA,NA,NA,"23.1%"
"123",2021-04-15,"3516420","2207392","29.4%","1442051","893002","18.2%","0%",NA,NA,NA,NA,NA,NA,"23.6%"
"124",2021-04-16,"3531670","2245574","29.8%","1459377","915654","18.7%","0%",NA,NA,NA,NA,NA,NA,"24.3%"
"125",2021-04-17,"3664640","2280686","30.1%","1476162","935377","19.1%","0%",NA,NA,NA,NA,NA,NA,"24.8%"
"126",2021-04-18,"3664740","2292276","30.2%","1481314","943129","19.2%","0%",NA,NA,NA,NA,NA,NA,"25.4%"
"127",2021-04-19,"3664740","2297563","30.3%","1483779","946333","19.3%","0%",NA,NA,NA,NA,NA,NA,"25.7%"
"128",2021-04-20,"3761730","2327764","30.5%","1494421","966251","19.7%","0%",NA,NA,NA,NA,NA,NA,"26%"
"129",2021-04-21,"3796070","2360527","30.7%","1507116","987379","20.1%","0%",NA,NA,NA,NA,NA,NA,"26.4%"
"130",2021-04-22,"3825010","2394304","31%","1518928","1010415","20.6%","0%",NA,NA,NA,NA,NA,NA,"26.9%"
"131",2021-04-23,"3898820","2429629","31.2%","1531741","1033996","21.1%","0%",NA,NA,NA,NA,NA,NA,"27.5%"
"132",2021-04-24,"3960530","2461510","31.5%","1543544","1054863","21.5%","0%",NA,NA,NA,NA,NA,NA,"28%"
"133",2021-04-25,"3960530","2471409","31.5%","1546659","1062524","21.7%","0%",NA,NA,NA,NA,NA,NA,"28.5%"
"134",2021-04-26,"3960530","2478227","31.6%","1549782","1066659","21.8%","0%",NA,NA,NA,NA,NA,NA,"28.9%"
"135",2021-04-27,"4009430","2499694","31.8%","1558652","1079815","22%","0%",NA,NA,NA,NA,NA,NA,"29.1%"
"136",2021-04-28,"4033570","2527815","32%","1568315","1098820","22.4%","0%",NA,NA,NA,NA,NA,NA,"29.5%"
"137",2021-04-29,"4042070","2559938","32.2%","1579093","1121348","22.9%","0%",NA,NA,NA,NA,NA,NA,"30%"
"138",2021-04-30,"4088030","2591163","32.4%","1589518","1143488","23.3%","0%",NA,NA,NA,NA,NA,NA,"30.5%"
"139",2021-05-01,"4130550","2617405","32.6%","1599130","1161725","23.7%","0%",NA,NA,NA,NA,NA,NA,"31.2%"
"140",2021-05-02,"4130550","2622717","32.7%","1601433","1165479","23.8%","0%",NA,NA,NA,NA,NA,NA,"31.6%"
"141",2021-05-03,"4130550","2627322","32.7%","1603454","1168235","23.8%","0%",NA,NA,NA,NA,NA,NA,"31.8%"
"142",2021-05-04,"4145390","2644674","32.8%","1609919","1179793","24.1%","0%",NA,NA,NA,NA,NA,NA,"32%"
"143",2021-05-05,"4187860","2670926","33%","1618791","1199064","24.5%","0%",NA,NA,NA,NA,NA,NA,"32.3%"
"144",2021-05-06,"4225140","2673181","33%","1619783","1201303","24.5%","0%",NA,NA,NA,NA,NA,NA,"32.8%"
"145",2021-05-07,"4241420","2726356","33.4%","1636710","1240335","25.3%","0%",NA,NA,NA,NA,NA,NA,"33.4%"
"146",2021-05-08,"4277330","2758021","33.6%","1649688","1263965","25.8%","0%",NA,NA,NA,NA,NA,NA,"33.9%"
"147",2021-05-09,"4277330","2768204","33.7%","1654267","1270858","25.9%","0%",NA,NA,NA,NA,NA,NA,"34.4%"
"148",2021-05-10,"4277330","2773615","33.8%","1657672","1273670","26%","0%",NA,NA,NA,NA,NA,NA,"34.8%"
"149",2021-05-11,"4295160","2773902","33.8%","1658191","1273999","26%","0%",NA,NA,NA,NA,NA,NA,"35.1%"
"150",2021-05-12,"4311320","2791631","33.9%","1664353","1286565","26.2%","0%",NA,NA,NA,NA,NA,NA,"35.4%"
"151",2021-05-13,"4322400","2831853","34.2%","1678119","1314534","26.8%","0%",NA,NA,NA,NA,NA,NA,"35.8%"
"152",2021-05-14,"4348790","2859591","34.4%","1687875","1334176","27.2%","0%",NA,NA,NA,NA,NA,NA,"36.2%"
"153",2021-05-15,"4373130","2881314","34.6%","1697289","1348023","27.5%","0%",NA,NA,NA,NA,NA,NA,"36.7%"
"154",2021-05-16,"4373130","2886106","34.7%","1699751","1350643","27.5%","0%",NA,NA,NA,NA,NA,NA,"37%"
"155",2021-05-17,"4373130","2886153","34.7%","1699915","1350830","27.6%","0%",NA,NA,NA,NA,NA,NA,"37.3%"
"156",2021-05-18,"4389040","2905553","34.9%","1709333","1362380","27.8%","0%",NA,NA,NA,NA,NA,NA,"37.5%"
"157",2021-05-19,"4393980","2906102","34.9%","1709761","1362834","27.8%","0%",NA,NA,NA,NA,NA,NA,"37.8%"
"158",2021-05-20,"4415280","2939161","35.2%","1725694","1382327","28.2%","0%",NA,NA,NA,NA,NA,NA,"38.1%"
"159",2021-05-21,"4449370","2945488","35.2%","1727437","1387356","28.3%","0%",NA,NA,NA,NA,NA,NA,"38.5%"
"160",2021-05-22,"4476640","2962661","35.4%","1736645","1396990","28.5%","0%",NA,NA,NA,NA,NA,NA,"38.9%"
"161",2021-05-23,"4476640","2981931","35.6%","1746820","1407769","28.7%","0%",NA,NA,NA,NA,NA,NA,"39.2%"
"162",2021-05-24,"4476640","2982081","35.6%","1747012","1407917","28.7%","0%",NA,NA,NA,NA,NA,NA,"39.3%"
"163",2021-05-25,"4484660","2996346","35.8%","1754294","1415771","28.9%","0%",NA,NA,NA,NA,NA,NA,"39.5%"
"164",2021-05-26,"4501400","3002607","35.8%","1757607","1419599","29%","0%",NA,NA,NA,NA,NA,NA,"39.7%"
"165",2021-05-27,"4520480","3007387","35.9%","1758850","1423605","29%","0%",NA,NA,NA,NA,NA,NA,"40%"
"166",2021-05-28,"4523700","3016803","36%","1763553","1429238","29.1%","0%",NA,NA,NA,NA,NA,NA,"40.2%"
"167",2021-05-29,"4578590","3020540","36%","1765515","1431669","29.2%","0%",NA,NA,NA,NA,NA,NA,"40.5%"
"168",2021-05-30,"4578590","3021454","36%","1766055","1432446","29.2%","0%",NA,NA,NA,NA,NA,NA,"40.7%"
"169",2021-05-31,"4578590","3021902","36%","1766534","1432946","29.2%","0%",NA,NA,NA,NA,NA,NA,"40.8%"
"170",2021-06-01,"4578590","3022276","36%","1766784","1433267","29.2%","0%",NA,NA,NA,NA,NA,NA,"40.9%"
"171",2021-06-02,"4583270","3025283","36.1%","1768055","1435324","29.3%","0%",NA,NA,NA,NA,NA,NA,"41%"
"172",2021-06-03,"4597950","3025695","36.1%","1768288","1435719","29.3%","0%",NA,NA,NA,NA,NA,NA,"41.2%"
"173",2021-06-04,"4606930","3032765","36.1%","1771964","1440101","29.4%","0%",NA,NA,NA,NA,NA,NA,"41.4%"
"174",2021-06-05,"4637330","3032931","36.1%","1772245","1440289","29.4%","0%",NA,NA,NA,NA,NA,NA,"41.6%"
"175",2021-06-06,"4637330","3035058","36.2%","1773379","1441834","29.4%","0%",NA,NA,NA,NA,NA,NA,"41.9%"
"176",2021-06-07,"4637330","3036419","36.2%","1774139","1442775","29.4%","0%",NA,NA,NA,NA,NA,NA,"42.1%"
"177",2021-06-08,"4646130","3036833","36.2%","1774535","1443230","29.4%","0%",NA,NA,NA,NA,NA,NA,"42.3%"
"178",2021-06-09,"4646550","3040485","36.2%","1776278","1445608","29.5%","0%",NA,NA,NA,NA,NA,NA,"42.5%"
"179",2021-06-10,"4648150","3064250","36.4%","1787017","1460230","29.8%","0%",NA,NA,NA,NA,NA,NA,"42.6%"
"180",2021-06-11,"4658570","3078445","36.6%","1793119","1468898","30%","0%",NA,NA,NA,NA,NA,NA,"42.8%"
"181",2021-06-12,"4678220","3105159","36.8%","1805486","1485108","30.3%","0%",NA,NA,NA,NA,NA,NA,"43.1%"
"182",2021-06-13,"4678220","3114649","36.9%","1810074","1490848","30.4%","0%",NA,NA,NA,NA,NA,NA,"43.4%"
"183",2021-06-14,"4678220","3128112","37%","1815885","1499941","30.6%","0%",NA,NA,NA,NA,NA,NA,"43.7%"
"184",2021-06-15,"4686280","3129657","37.1%","1816769","1501171","30.6%","0%",NA,NA,NA,NA,NA,NA,"43.9%"
"185",2021-06-16,"4692070","3141802","37.2%","1822146","1508504","30.8%","0%",NA,NA,NA,NA,NA,NA,"44.1%"
"186",2021-06-17,"4726010","3253283","38.7%","1898131","1546119","31.5%","0%",NA,NA,NA,NA,NA,NA,"44.5%"
"187",2021-06-18,"4734100","3254330","38.7%","1898704","1546983","31.6%","0%",NA,NA,NA,NA,NA,NA,"44.7%"
"188",2021-06-19,"4758560","3275273","38.9%","1909005","1558881","31.8%","0%",NA,NA,NA,NA,NA,NA,"44.9%"
"189",2021-06-20,"4758560","3282193","39%","1913032","1562192","31.9%","0%",NA,NA,NA,NA,NA,NA,"45.1%"
"190",2021-06-21,"4758560","3285448","39.1%","1915122","1563573","31.9%","0%",NA,NA,NA,NA,NA,NA,"45.2%"
"191",2021-06-22,"4759120","3291351","39.1%","1918334","1566908","32%","0%",NA,NA,NA,NA,NA,NA,"45.3%"
"192",2021-06-23,"4767580","3298895","39.2%","1922707","1570452","32%","0%",NA,NA,NA,NA,NA,NA,"45.4%"
"193",2021-06-24,"4769800","3308713","39.3%","1928656","1574676","32.1%","0%",NA,NA,NA,NA,NA,NA,"45.6%"
"194",2021-06-25,"4783230","3308961","39.3%","1928903","1574934","32.1%","0%",NA,NA,NA,NA,NA,NA,"45.7%"
"195",2021-06-26,"4801760","3317156","39.4%","1933773","1578780","32.2%","0%",NA,NA,NA,NA,NA,NA,"45.8%"
"196",2021-06-27,"4801760","3330128","39.6%","1941681","1584456","32.3%","0%",NA,NA,NA,NA,NA,NA,"46.1%"
"197",2021-06-28,"4801760","3341617","39.7%","1948135","1590001","32.4%","0%",NA,NA,NA,NA,NA,NA,"46.3%"
"198",2021-06-29,"4810050","3349904","39.8%","1953410","1594040","32.5%","0%",NA,NA,NA,NA,NA,NA,"46.4%"
"199",2021-06-30,"4813050","3350607","39.9%","1954166","1594625","32.5%","0%",NA,NA,NA,NA,NA,NA,"46.7%"
"200",2021-07-01,"4825450","3365396","40%","1962745","1601802","32.7%","0%",NA,NA,NA,NA,NA,NA,"47%"
"201",2021-07-02,"4836250","3365623","40%","1962952","1602022","32.7%","0%",NA,NA,NA,NA,NA,NA,"47.1%"
"202",2021-07-03,"4845190","3381996","40.2%","1969834","1612803","32.9%","0%",NA,NA,NA,NA,NA,NA,"47.3%"
"203",2021-07-04,"4845190","3382042","40.2%","1969971","1612913","32.9%","0%",NA,NA,NA,NA,NA,NA,"47.4%"
"204",2021-07-05,"4845190","3392366","40.3%","1976302","1617556","33%","0%",NA,NA,NA,NA,NA,NA,"47.4%"
"205",2021-07-06,"4845190","3392366","40.3%","1976343","1617584","33%","0%",NA,NA,NA,NA,NA,NA,"47.5%"
"206",2021-07-07,"4845190","3396338","40.4%","1978951","1619647","33%","0%",NA,NA,NA,NA,NA,NA,"47.6%"
"207",2021-07-08,"4866130","3402487","40.4%","1982250","1623114","33.1%","0%",NA,NA,NA,NA,NA,NA,"47.7%"
"208",2021-07-09,"4872940","3408591","40.5%","1985582","1626323","33.2%","0%",NA,NA,NA,NA,NA,NA,"47.8%"
"209",2021-07-10,"4884130","3414916","40.6%","1988956","1629745","33.2%","0%",NA,NA,NA,NA,NA,NA,"47.9%"
"210",2021-07-11,"4884130","3422016","40.6%","1992957","1633408","33.3%","0%",NA,NA,NA,NA,NA,NA,"48%"
"211",2021-07-12,"4884130","3422020","40.6%","1993099","1633505","33.3%","0%",NA,NA,NA,NA,NA,NA,"48%"
"212",2021-07-13,"4885650","3434360","40.8%","2000752","1638866","33.4%","0%",NA,NA,NA,NA,NA,NA,"48.1%"
"213",2021-07-14,"4893240","3434499","40.8%","2000914","1639032","33.4%","0%",NA,NA,NA,NA,NA,NA,"48.2%"
"214",2021-07-15,"4895780","3448153","41%","2009200","1645083","33.6%","0%",NA,NA,NA,NA,NA,NA,"48.3%"
"215",2021-07-16,"4904730","3455086","41.1%","2013559","1647995","33.6%","0%",NA,NA,NA,NA,NA,NA,"48.4%"
"216",2021-07-17,"4912720","3455278","41.1%","2013853","1648172","33.6%","0%",NA,NA,NA,NA,NA,NA,"48.5%"
"217",2021-07-18,"4912720","3462968","41.2%","2018807","1651404","33.7%","0%",NA,NA,NA,NA,NA,NA,"48.6%"
"218",2021-07-19,"4919470","3468625","41.3%","2022782","1653604","33.7%","0%",NA,NA,NA,NA,NA,NA,"48.6%"
"219",2021-07-20,"4928670","3471361","41.3%","2024953","1654644","33.7%","0%",NA,NA,NA,NA,NA,NA,"48.7%"
